,INSEE_COM,E24_Libellé_département,E24_Inscrits,E24_Votants,E24_Abstentions,E24_Exprimés,E24_Blancs,E24_Nuls,E24_Voix_1,E24_Voix_2,E24_ZEMMOUR,E24_LFI,E24_RN,E24_EELV,E24_Voix_7,E24_Voix_8,E24_Voix_9,E24_Voix_10,E24_LREM,E24_Voix_12,E24_Voix_13,E24_Voix_14,E24_Voix_15,E24_Voix_16,E24_Voix_17,E24_LR,E24_Voix_19,E24_Voix_20,E24_Voix_21,E24_Voix_22,E24_Voix_23,E24_Voix_24,E24_Voix_25,E24_Voix_26,E24_PSPP,E24_Voix_28,E24_Voix_29,E24_Voix_30,E24_Voix_31,E24_Voix_32,E24_PCF,E24_Voix_34,E24_Voix_35,E24_Voix_36,E24_Voix_37,E24_Voix_38,E24_Voix_1_ratio,E24_Voix_2_ratio,E24_ZEMMOUR_ratio,E24_LFI_ratio,E24_RN_ratio,E24_EELV_ratio,E24_Voix_7_ratio,E24_Voix_8_ratio,E24_Voix_9_ratio,E24_Voix_10_ratio,E24_LREM_ratio,E24_Voix_12_ratio,E24_Voix_13_ratio,E24_Voix_14_ratio,E24_Voix_15_ratio,E24_Voix_16_ratio,E24_Voix_17_ratio,E24_LR_ratio,E24_Voix_19_ratio,E24_Voix_20_ratio,E24_Voix_21_ratio,E24_Voix_22_ratio,E24_Voix_23_ratio,E24_Voix_24_ratio,E24_Voix_25_ratio,E24_Voix_26_ratio,E24_PSPP_ratio,E24_Voix_28_ratio,E24_Voix_29_ratio,E24_Voix_30_ratio,E24_Voix_31_ratio,E24_Voix_32_ratio,E24_PCF_ratio,E24_Voix_34_ratio,E24_Voix_35_ratio,E24_Voix_36_ratio,E24_Voix_37_ratio,E24_Voix_38_ratio,E24_Abstentions_ratio,L24T1_Inscrits,L24T1_Votants,L24T1_Abstentions,L24T1_Exprimés,L24T1_Blancs,L24T1_Nuls,L24T1_COM,L24T1_DIV,L24T1_DSV,L24T1_DVC,L24T1_DVD,L24T1_DVG,L24T1_ECO,L24T1_ENS,L24T1_EXD,L24T1_EXG,L24T1_FI,L24T1_HOR,L24T1_LR,L24T1_RDG,L24T1_REC,L24T1_REG,L24T1_RN,L24T1_SOC,L24T1_UDI,L24T1_UG,L24T1_UXD,L24T1_VEC,L24T1_COM_ratio,L24T1_DIV_ratio,L24T1_DSV_ratio,L24T1_DVC_ratio,L24T1_DVD_ratio,L24T1_DVG_ratio,L24T1_ECO_ratio,L24T1_ENS_ratio,L24T1_EXD_ratio,L24T1_EXG_ratio,L24T1_FI_ratio,L24T1_HOR_ratio,L24T1_LR_ratio,L24T1_RDG_ratio,L24T1_REC_ratio,L24T1_REG_ratio,L24T1_RN_ratio,L24T1_SOC_ratio,L24T1_UDI_ratio,L24T1_UG_ratio,L24T1_UXD_ratio,L24T1_VEC_ratio,L24T1_Abstentions_ratio,POP_Pop_leg,POP_Total,DIP_BAC_+_2,DIP_BAC_+_3_ou_4,DIP_BAC_+_5,"DIP_BAC,_brevet_pro_ou_équiv",DIP_Brevet_des_collèges,DIP_CAP-BEP_ou_équiv,DIP_Sans_diplôme_ou_CEP,DIP_Total,DIP_BAC_+_2_ratio,DIP_BAC_+_3_ou_4_ratio,DIP_BAC_+_5_ratio,"DIP_BAC,_brevet_pro_ou_équiv_ratio",DIP_Brevet_des_collèges_ratio,DIP_CAP-BEP_ou_équiv_ratio,DIP_Sans_diplôme_ou_CEP_ratio,CHO_Chôm_15-24_ans,CHO_Chôm_25-54_ans,CHO_Chôm_55-64_ans,CHO_Total,CHO_Chôm_15-24_ans_ratio,CHO_Chôm_25-54_ans_ratio,CHO_Chôm_55-64_ans_ratio
0,52001,Haute-Marne,242,121,121,115,1,5,0,0,4,2,56,3,0,3,0,0,11,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,18,0,4,0,0,0,3,0,1,0,0,0,0.0,0.0,1.6528925619834711,0.8264462809917356,23.140495867768596,1.2396694214876034,0.0,1.2396694214876034,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,3.3057851239669422,0.4132231404958678,0.0,0.0,0.0,0.0,0.4132231404958678,0.0,0.0,7.43801652892562,0.0,1.6528925619834711,0.0,0.0,0.0,1.2396694214876034,0.0,0.4132231404958678,0.0,0.0,0.0,50.0,241,158,83,155,2,1,0.0,13.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,28.0,0.0,0.0,0.0,5.394190871369295,0.0,0.0,0.0,0.0,0.0,12.033195020746888,0.0,0.8298755186721992,0.0,0.0,0.0,0.0,0.0,0.0,34.439834024896264,0.0,0.0,11.618257261410788,0.0,0.0,34.439834024896264,323,323,28,10,8,38,7,75,58,224,12.5,4.464285714285714,3.571428571428571,16.964285714285715,3.125,33.482142857142854,25.892857142857146,0.0,8.18,1.98,10.16,0.0,80.51181102362204,19.488188976377952
1,52002,Haute-Marne,20,12,8,11,1,0,0,0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,19,14,5,11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.84210526315789,0.0,0.0,0.0,0.0,0.0,26.31578947368421,26,26,1,0,1,2,1,4,9,18,5.555555555555555,0.0,5.555555555555555,11.11111111111111,5.555555555555555,22.22222222222222,50.0,0.0,1.0,1.0,2.0,0.0,50.0,50.0
2,52003,Haute-Marne,143,87,56,74,5,8,0,0,5,1,47,0,0,3,0,0,7,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,3.4965034965034967,0.6993006993006993,32.86713286713287,0.0,0.0,2.097902097902098,0.0,0.0,4.895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,3.4965034965034967,0.6993006993006993,0.0,0.0,0.0,0.0,0.6993006993006993,0.0,0.0,2.097902097902098,0.0,0.6993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.16083916083916,142,104,38,99,2,3,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.492957746478872,0.0,0.0,0.0,0.0,0.7042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,50.70422535211267,0.0,0.0,2.8169014084507045,0.0,0.0,26.76056338028169,146,146,13,8,2,17,9,51,42,142,9.15492957746479,5.633802816901409,1.4084507042253522,11.971830985915492,6.338028169014084,35.91549295774648,29.577464788732392,0.0,4.93,2.96,7.89,0.0,62.484157160963235,37.51584283903676
3,52004,Haute-Marne,11,11,0,11,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.27272727272727,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0,10,1,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,10,10,2,1,0,2,0,2,3,10,20.0,10.0,0.0,20.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,,,
4,52005,Haute-Marne,28,22,6,21,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.428571428571427,28,20,8,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71428571428571,0.0,0.0,7.142857142857142,0.0,0.0,28.57142857142857,30,30,3,4,1,2,1,10,6,27,11.11111111111111,14.814814814814813,3.7037037037037033,7.4074074074074066,3.7037037037037033,37.03703703703704,22.22222222222222,0.0,1.0,0.0,1.0,0.0,100.0,0.0
5,52006,Haute-Marne,259,141,118,139,0,2,0,0,8,2,95,2,0,1,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,4,0,5,0,0,0,2,0,2,0,0,0,0.0,0.0,3.088803088803089,0.7722007722007722,36.67953667953668,0.7722007722007722,0.0,0.3861003861003861,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,3.088803088803089,0.0,0.0,0.0,0.0,0.0,1.1583011583011582,0.0,0.0,1.5444015444015444,0.0,1.9305019305019304,0.0,0.0,0.0,0.7722007722007722,0.0,0.7722007722007722,0.0,0.0,0.0,45.559845559845556,260,182,78,180,2,0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.384615384615385,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,53.46153846153846,0.0,0.0,5.0,0.0,0.0,30.0,364,364,16,10,8,58,17,99,63,271,5.904059040590406,3.6900369003690034,2.952029520295203,21.40221402214022,6.273062730627306,36.53136531365313,23.247232472324722,2.05,13.06,0.0,15.11,13.567174056915949,86.43282594308405,0.0
6,52007,Haute-Marne,58,45,13,40,5,0,0,0,1,2,12,0,0,0,0,0,5,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,6,0,2,0,1,0,1,0,1,0,0,0,0.0,0.0,1.7241379310344827,3.4482758620689653,20.689655172413794,0.0,0.0,0.0,0.0,0.0,8.620689655172415,0.0,1.7241379310344827,0.0,0.0,0.0,0.0,12.068965517241379,0.0,0.0,0.0,0.0,0.0,1.7241379310344827,0.0,0.0,10.344827586206897,0.0,3.4482758620689653,0.0,1.7241379310344827,0.0,1.7241379310344827,0.0,1.7241379310344827,0.0,0.0,0.0,22.413793103448278,58,45,13,44,0,1,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.827586206896555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.862068965517242,0.0,0.0,5.172413793103448,0.0,0.0,22.413793103448278,90,90,11,2,5,14,4,14,10,60,18.333333333333332,3.3333333333333335,8.333333333333332,23.333333333333332,6.666666666666667,23.333333333333332,16.666666666666664,3.11,5.18,0.0,8.29,37.51507840772015,62.48492159227986,0.0
7,52008,Haute-Marne,610,303,307,290,5,8,0,0,14,6,162,2,0,5,0,0,24,0,0,0,2,0,0,36,1,0,0,1,0,2,0,0,13,0,12,2,0,0,3,0,5,0,0,0,0.0,0.0,2.2950819672131146,0.9836065573770493,26.557377049180324,0.32786885245901637,0.0,0.819672131147541,0.0,0.0,3.934426229508197,0.0,0.0,0.0,0.32786885245901637,0.0,0.0,5.901639344262295,0.16393442622950818,0.0,0.0,0.16393442622950818,0.0,0.32786885245901637,0.0,0.0,2.1311475409836063,0.0,1.9672131147540985,0.32786885245901637,0.0,0.0,0.49180327868852464,0.0,0.819672131147541,0.0,0.0,0.0,50.32786885245901,606,375,231,362,4,9,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,19.636963696369637,0.0,0.0,0.0,0.0,0.825082508250825,0.0,0.0,0.0,0.0,0.0,0.0,35.47854785478548,0.0,0.0,3.7953795379537953,0.0,0.0,38.11881188118812,875,875,43,31,20,132,46,219,208,699,6.151645207439199,4.434907010014307,2.8612303290414878,18.88412017167382,6.580829756795422,31.330472103004293,29.756795422031473,9.95,30.98,8.07,49.0,20.30612244897959,63.22448979591837,16.46938775510204
8,52009,Haute-Marne,93,64,29,63,0,1,0,0,4,0,30,0,0,3,0,0,5,1,0,0,2,0,0,4,2,0,0,0,0,1,0,0,2,0,7,0,0,0,1,0,1,0,0,0,0.0,0.0,4.301075268817205,0.0,32.25806451612903,0.0,0.0,3.225806451612903,0.0,0.0,5.376344086021505,1.0752688172043012,0.0,0.0,2.1505376344086025,0.0,0.0,4.301075268817205,2.1505376344086025,0.0,0.0,0.0,0.0,1.0752688172043012,0.0,0.0,2.1505376344086025,0.0,7.526881720430108,0.0,0.0,0.0,1.0752688172043012,0.0,1.0752688172043012,0.0,0.0,0.0,31.182795698924732,93,67,26,64,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.129032258064516,0.0,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,37.634408602150536,0.0,0.0,8.60215053763441,0.0,0.0,27.956989247311824,107,107,11,3,0,17,5,25,24,85,12.941176470588237,3.5294117647058822,0.0,20.0,5.88235294117647,29.411764705882355,28.235294117647058,0.0,1.91,0.95,2.86,0.0,66.78321678321679,33.21678321678322
9,52011,Haute-Marne,71,43,28,41,1,1,0,0,2,0,13,0,0,1,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,2.8169014084507045,0.0,18.30985915492958,0.0,0.0,1.4084507042253522,0.0,0.0,7.042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,16.901408450704224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.450704225352112,0.0,0.0,0.0,0.0,0.0,1.4084507042253522,0.0,1.4084507042253522,0.0,0.0,0.0,39.436619718309856,70,51,19,49,1,1,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.142857142857146,0.0,0.0,4.285714285714286,0.0,0.0,27.142857142857142,95,95,12,8,1,7,1,23,14,66,18.181818181818183,12.121212121212121,1.5151515151515151,10.606060606060606,1.5151515151515151,34.84848484848485,21.21212121212121,1.08,0.0,0.0,1.08,100.0,0.0,0.0
